"repeat_id"	"expt"	"analysis_type"	"true_base"	"b_base_lower"	"b_base_med"	"b_base_upper"	"true_sex"	"b_sex_p_value"	"b_sex_lower"	"b_sex_med"	"b_sex_upper"	"true_cond"	"b_cond_p_value"	"b_cond_lower"	"b_cond_med"	"b_cond_upper"	"true_sex_cond"	"b_sex_cond_p_value"	"b_sex_cond_lower"	"b_sex_cond_med"	"b_sex_cond_upper"
"1"	1	1	"anova"	0	0.417975683096487	0.46	0.502024316903512	0	0.286938905552121	-0.0274313589144121	0.0320000000000003	0.0914313589144128	0	0.00513400476329908	0.0265686410855874	0.0859999999999999	0.145431358914412	2	1.01396109439243e-09	0.209951366192975	0.294	0.378048633807025
"2"	1	2	"anova"	0	0.420753926770806	0.464	0.507246073229194	0	0.175422418049517	-0.0191591832801056	0.042	0.103159183280106	0	0.300672469069203	-0.0291591832801058	0.0319999999999999	0.0931591832801055	2	6.91194910224899e-12	0.265507853541613	0.352	0.438492146458388
"3"	1	3	"anova"	0	0.440838493299365	0.484	0.527161506700635	0	0.603141952381332	-0.077039588148495	-0.0159999999999997	0.0450395881484957	0	0.0820944416117867	-0.00703958814849559	0.0539999999999998	0.115039588148495	2	1.54914421982277e-12	0.27967698659873	0.366	0.45232301340127
"4"	1	4	"anova"	0	0.438239182873031	0.486	0.533760817126969	0	0.557113674702058	-0.0475439953309806	0.0200000000000003	0.0875439953309812	0	0.319254907060864	-0.0335439953309809	0.0340000000000001	0.101543995330981	2	1.22928263525777e-09	0.236478365746062	0.332	0.427521634253938
"5"	1	5	"anova"	0	0.469305801133229	0.51	0.550694198866771	0	0.890266669456764	-0.053550287947295	0.00400000000000027	0.0615502879472955	0	0.490952240832891	-0.0775502879472954	-0.0200000000000002	0.0375502879472951	2	8.46826540799933e-14	0.290611602266458	0.372	0.453388397733542
"6"	1	6	"anova"	0	0.417447132090101	0.458	0.498552867909899	0	0.369415306997974	-0.0313504157913044	0.026	0.0833504157913044	0	0.099640487789645	-0.00935041579130481	0.0479999999999996	0.105350415791304	2	1.89920759270083e-12	0.260894264180202	0.342000000000001	0.423105735819799
"7"	1	7	"anova"	0	0.48103291273456	0.52	0.55896708726544	0	0.429025198535633	-0.0771077832969609	-0.0219999999999997	0.0331077832969614	0	0.07470900609159	-0.105107783296961	-0.0500000000000002	0.00510778329696102	2	2.63034892612127e-18	0.37206582546912	0.45	0.52793417453088
"8"	1	8	"anova"	0	0.462499056920572	0.5	0.537500943079428	0	0.549714233567529	-0.0370343423047079	0.0160000000000003	0.0690343423047085	0	0.370273345761471	-0.0290343423047084	0.0239999999999999	0.0770343423047082	2	4.79696316878044e-13	0.252998113841144	0.328	0.403001886158856
"9"	1	9	"anova"	0	0.446530020761411	0.49	0.533469979238589	0	0.177629789598404	-0.0194758341952888	0.0420000000000004	0.10347583419529	0	0.846392391989739	-0.0674758341952892	-0.00599999999999996	0.0554758341952893	2	3.41117861183071e-11	0.251060041522822	0.338	0.424939958477178
"10"	1	10	"anova"	0	0.46331862911289	0.504	0.54468137088711	0	0.782572318062107	-0.0495321464444808	0.00800000000000039	0.0655321464444815	0	0.0875239576346445	-0.107532146444481	-0.0500000000000002	0.007532146444481	2	3.95229176588001e-16	0.34063725822578	0.422	0.503362741774221
