"repeat_id"	"expt"	"analysis_type"	"true_base"	"b_base_lower"	"b_base_med"	"b_base_upper"	"true_sex"	"b_sex_p_value"	"b_sex_lower"	"b_sex_med"	"b_sex_upper"	"true_cond"	"b_cond_p_value"	"b_cond_lower"	"b_cond_med"	"b_cond_upper"	"true_sex_cond"	"b_sex_cond_p_value"	"b_sex_cond_lower"	"b_sex_cond_med"	"b_sex_cond_upper"
"1"	1	1	"anova"	0	0.428337254008256	0.468	0.507662745991744	0	0.479784451455467	-0.0360915933024832	0.02	0.0760915933024832	0	0.620550000632741	-0.0700915933024832	-0.014	0.0420915933024832	0	0.802432959333835	-0.0893254919834876	-0.01	0.0693254919834876
"2"	1	2	"anova"	0	0.442815615221847	0.487999999999999	0.533184384778152	0	0.420252975219526	-0.0379003697607469	0.0260000000000002	0.0899003697607472	0	0.709430244731453	-0.0519003697607469	0.0120000000000003	0.0759003697607474	0	0.692693813208394	-0.108368769556304	-0.0180000000000003	0.0723687695563039
"3"	1	3	"anova"	0	0.465396923647625	0.51	0.554603076352375	0	0.89982919129738	-0.0670782755010912	-0.00400000000000016	0.0590782755010909	0	0.571477479021752	-0.0450782755010913	0.0179999999999999	0.081078275501091	0	0.170332920767218	-0.151206152704749	-0.0619999999999998	0.0272061527047498
"4"	1	4	"anova"	0	0.452823984416654	0.496	0.539176015583347	0	0.948157028495447	-0.059060106807201	0.00199999999999984	0.0630601068072007	0	0.082195294440844	-0.00706010680720099	0.0539999999999999	0.115060106807201	0	0.216779093011812	-0.140352031166693	-0.0539999999999999	0.0323520311666933
"5"	1	5	"anova"	0	0.435218677882475	0.476	0.516781322117525	0	0.101518305901579	-0.00967349883011032	0.048	0.10567349883011	0	0.836406664784344	-0.0516734988301103	0.00600000000000009	0.0636734988301105	0	0.626687874839815	-0.101562644235051	-0.0200000000000001	0.0615626442350508
"6"	1	6	"anova"	0	0.445149186398219	0.488	0.530850813601781	0	0.694398176407984	-0.0726002017543603	-0.012	0.0486002017543604	0	0.5129638765995	-0.0406002017543606	0.0199999999999999	0.0806002017543604	0	0.816855036512035	-0.0957016272035623	-0.00999999999999993	0.0757016272035625
"7"	1	7	"anova"	0	0.475926175849673	0.516	0.556073824150327	0	0.484287098943854	-0.0366729456095472	0.02	0.0766729456095471	0	0.674420440161725	-0.0686729456095472	-0.012	0.0446729456095472	0	0.373824564445502	-0.116147648300654	-0.036	0.0441476483006544
"8"	1	8	"anova"	0	0.45037181684012	0.494	0.537628183159879	0	0.52048070003015	-0.0416995683263994	0.0199999999999999	0.0816995683263991	0	0.200545558415058	-0.0216995683263993	0.04	0.101699568326399	0	0.161099535572862	-0.149256366319759	-0.062	0.0252563663197593
"9"	1	9	"anova"	0	0.423488221705681	0.47	0.51651177829432	0	0.106171905832177	-0.0117775876739176	0.0539999999999998	0.119777587673917	0	0.279139547664211	-0.0297775876739175	0.036	0.101777587673918	0	0.0121507179057232	-0.213023556588639	-0.12	-0.0269764434113605
"10"	1	10	"anova"	0	0.450251951368738	0.486	0.521748048631261	0	0.530366992385445	-0.0665553752027029	-0.0159999999999999	0.0345553752027031	0	0.38882961266992	-0.0725553752027032	-0.0220000000000001	0.028555375202703	0	0.0548649087796438	-0.00149609726252306	0.0700000000000001	0.141496097262523
"11"	1	11	"anova"	0	0.459769615875944	0.506	0.552230384124056	0	0.303603835415472	-0.0313796362219581	0.034	0.099379636221958	0	0.332741077836047	-0.0973796362219583	-0.0320000000000002	0.033379636221958	0	0.636932612335388	-0.0704607682481123	0.0220000000000001	0.114460768248113
"12"	1	12	"anova"	0	0.415704993490507	0.468	0.520295006509493	0	0.555295481462886	-0.0519563074501148	0.0219999999999999	0.0959563074501147	0	0.0709797590171576	-0.00595630745011493	0.0679999999999999	0.141956307450115	0	0.621951414302902	-0.130590013018987	-0.0259999999999998	0.0785900130189869
"13"	1	13	"anova"	0	0.420680537728567	0.468	0.515319462271433	0	0.441441316007644	-0.0409198253084628	0.026	0.0929198253084628	0	0.858748613203515	-0.0609198253084629	0.00599999999999995	0.0729198253084628	0	0.426372170814368	-0.0566389245428664	0.0380000000000001	0.132638924542867
"14"	1	14	"anova"	0	0.422849328031785	0.474	0.525150671968215	0	0.742010946024233	-0.0603379740219464	0.012	0.0843379740219464	0	0.660806624620328	-0.0563379740219464	0.016	0.0883379740219465	0	0.535150959471459	-0.134301343936429	-0.0320000000000001	0.0703013439364292
"15"	1	15	"anova"	0	0.47237050238779	0.52	0.567629497612211	0	0.768278239958613	-0.0573582814922049	0.00999999999999992	0.0773582814922047	0	0.556029562929483	-0.0873582814922049	-0.0200000000000001	0.0473582814922048	0	0.617264886895523	-0.119258995224421	-0.0239999999999999	0.0712589952244208
"16"	1	16	"anova"	0	0.442161915130099	0.488	0.533838084869901	0	0.328645757690246	-0.0328248412962228	0.0319999999999999	0.0968248412962226	0	0.713386160415709	-0.0768248412962228	-0.012	0.0528248412962228	0	0.387581362009946	-0.131676169739802	-0.0399999999999999	0.0516761697398018
"17"	1	17	"anova"	0	0.449964213824304	0.496	0.542035786175695	0	0.714561958452135	-0.0771044331641766	-0.0119999999999999	0.0531044331641768	0	0.854853909729124	-0.0711044331641766	-0.00599999999999987	0.0591044331641769	0	0.897074909090337	-0.0980715723513916	-0.00600000000000011	0.0860715723513914
